,dma_code,dma_name,zip_code,city,state
1484,504,PHILADELPHIA,8313,,
1485,504,PHILADELPHIA,8314,,
1486,504,PHILADELPHIA,8315,,
1487,504,PHILADELPHIA,8316,,
1488,504,PHILADELPHIA,8317,,
1489,504,PHILADELPHIA,8318,,
1490,504,PHILADELPHIA,8319,,
1491,504,PHILADELPHIA,8320,,
1492,504,PHILADELPHIA,8321,,
1493,504,PHILADELPHIA,8322,,
1494,504,PHILADELPHIA,8323,,
1495,504,PHILADELPHIA,8324,,
1496,504,PHILADELPHIA,8326,,
1497,504,PHILADELPHIA,8327,,
1498,504,PHILADELPHIA,8328,,
1499,504,PHILADELPHIA,8329,,
1500,504,PHILADELPHIA,8330,,
1501,504,PHILADELPHIA,8332,,
1502,504,PHILADELPHIA,8340,,
1503,504,PHILADELPHIA,8341,,
1504,504,PHILADELPHIA,8342,,
1505,504,PHILADELPHIA,8343,,
1506,504,PHILADELPHIA,8344,,
1507,504,PHILADELPHIA,8345,,
1508,504,PHILADELPHIA,8346,,
1509,504,PHILADELPHIA,8347,,
1510,504,PHILADELPHIA,8348,,
1511,504,PHILADELPHIA,8349,,
1512,504,PHILADELPHIA,8350,,
1513,504,PHILADELPHIA,8352,,
1514,504,PHILADELPHIA,8353,,
1515,504,PHILADELPHIA,8360,,
1516,504,PHILADELPHIA,8361,,
1517,504,PHILADELPHIA,8362,,
1518,504,PHILADELPHIA,8401,,
1519,504,PHILADELPHIA,8402,,
1520,504,PHILADELPHIA,8403,,
1521,504,PHILADELPHIA,8404,,
1522,504,PHILADELPHIA,8405,,
1523,504,PHILADELPHIA,8406,,
1524,504,PHILADELPHIA,8505,,
1525,504,PHILADELPHIA,8511,,
1526,504,PHILADELPHIA,8515,,
1527,504,PHILADELPHIA,8518,,
1528,504,PHILADELPHIA,8520,,
1529,504,PHILADELPHIA,8525,,
1530,504,PHILADELPHIA,8534,,
1531,504,PHILADELPHIA,8540,,
1532,504,PHILADELPHIA,8541,,
1533,504,PHILADELPHIA,8542,,
1534,504,PHILADELPHIA,8543,,
1535,504,PHILADELPHIA,8544,,
1536,504,PHILADELPHIA,8550,,
1537,504,PHILADELPHIA,8554,,
1538,504,PHILADELPHIA,8560,,
1539,504,PHILADELPHIA,8561,,
1540,504,PHILADELPHIA,8562,,
1541,504,PHILADELPHIA,8601,,
1542,504,PHILADELPHIA,8602,,
1543,504,PHILADELPHIA,8603,,
1544,504,PHILADELPHIA,8604,,
1545,504,PHILADELPHIA,8605,,
1546,504,PHILADELPHIA,8606,,
1547,504,PHILADELPHIA,8607,,
1548,504,PHILADELPHIA,8608,,
1549,504,PHILADELPHIA,8609,,
1550,504,PHILADELPHIA,8610,,
1551,504,PHILADELPHIA,8611,,
1552,504,PHILADELPHIA,8618,,
1553,504,PHILADELPHIA,8619,,
1554,504,PHILADELPHIA,8620,,
1555,504,PHILADELPHIA,8625,,
1556,504,PHILADELPHIA,8628,,
1557,504,PHILADELPHIA,8629,,
1558,504,PHILADELPHIA,8638,,
1559,504,PHILADELPHIA,8640,,
1560,504,PHILADELPHIA,8641,,
1561,504,PHILADELPHIA,8645,,
1562,504,PHILADELPHIA,8646,,
1563,504,PHILADELPHIA,8647,,
1564,504,PHILADELPHIA,8648,,
1565,504,PHILADELPHIA,8650,,
1566,504,PHILADELPHIA,8666,,
1567,504,PHILADELPHIA,8677,,
1568,504,PHILADELPHIA,8690,,
1569,504,PHILADELPHIA,8691,,
1570,504,PHILADELPHIA,8695,,
4892,533,HARTFORD & NEW HAVEN,6001,,
4893,533,HARTFORD & NEW HAVEN,6002,,
4894,533,HARTFORD & NEW HAVEN,6006,,
4895,533,HARTFORD & NEW HAVEN,6010,,
4896,533,HARTFORD & NEW HAVEN,6011,,
4897,533,HARTFORD & NEW HAVEN,6013,,
4898,533,HARTFORD & NEW HAVEN,6016,,
4899,533,HARTFORD & NEW HAVEN,6018,,
4900,533,HARTFORD & NEW HAVEN,6019,,
4901,533,HARTFORD & NEW HAVEN,6020,,
4902,533,HARTFORD & NEW HAVEN,6021,,
4903,533,HARTFORD & NEW HAVEN,6022,,
4904,533,HARTFORD & NEW HAVEN,6023,,
4905,533,HARTFORD & NEW HAVEN,6024,,
4906,533,HARTFORD & NEW HAVEN,6025,,
4907,533,HARTFORD & NEW HAVEN,6026,,
4908,533,HARTFORD & NEW HAVEN,6027,,
4909,533,HARTFORD & NEW HAVEN,6028,,
4910,533,HARTFORD & NEW HAVEN,6029,,
4911,533,HARTFORD & NEW HAVEN,6030,,
4912,533,HARTFORD & NEW HAVEN,6031,,
4913,533,HARTFORD & NEW HAVEN,6032,,
4914,533,HARTFORD & NEW HAVEN,6033,,
4915,533,HARTFORD & NEW HAVEN,6034,,
4916,533,HARTFORD & NEW HAVEN,6035,,
4917,533,HARTFORD & NEW HAVEN,6037,,
4918,533,HARTFORD & NEW HAVEN,6039,,
4919,533,HARTFORD & NEW HAVEN,6040,,
4920,533,HARTFORD & NEW HAVEN,6041,,
4921,533,HARTFORD & NEW HAVEN,6042,,
4922,533,HARTFORD & NEW HAVEN,6043,,
4923,533,HARTFORD & NEW HAVEN,6045,,
4924,533,HARTFORD & NEW HAVEN,6050,,
4925,533,HARTFORD & NEW HAVEN,6051,,
4926,533,HARTFORD & NEW HAVEN,6052,,
4927,533,HARTFORD & NEW HAVEN,6053,,
4928,533,HARTFORD & NEW HAVEN,6057,,
4929,533,HARTFORD & NEW HAVEN,6058,,
4930,533,HARTFORD & NEW HAVEN,6059,,
4931,533,HARTFORD & NEW HAVEN,6060,,
4932,533,HARTFORD & NEW HAVEN,6061,,
4933,533,HARTFORD & NEW HAVEN,6062,,
4934,533,HARTFORD & NEW HAVEN,6063,,
4935,533,HARTFORD & NEW HAVEN,6064,,
4936,533,HARTFORD & NEW HAVEN,6065,,
4937,533,HARTFORD & NEW HAVEN,6066,,
4938,533,HARTFORD & NEW HAVEN,6067,,
4939,533,HARTFORD & NEW HAVEN,6068,,
4940,533,HARTFORD & NEW HAVEN,6069,,
4941,533,HARTFORD & NEW HAVEN,6070,,
4942,533,HARTFORD & NEW HAVEN,6071,,
4943,533,HARTFORD & NEW HAVEN,6072,,
4944,533,HARTFORD & NEW HAVEN,6073,,
4945,533,HARTFORD & NEW HAVEN,6074,,
4946,533,HARTFORD & NEW HAVEN,6075,,
4947,533,HARTFORD & NEW HAVEN,6076,,
4948,533,HARTFORD & NEW HAVEN,6077,,
4949,533,HARTFORD & NEW HAVEN,6078,,
4950,533,HARTFORD & NEW HAVEN,6079,,
4951,533,HARTFORD & NEW HAVEN,6080,,
4952,533,HARTFORD & NEW HAVEN,6081,,
4953,533,HARTFORD & NEW HAVEN,6082,,
4954,533,HARTFORD & NEW HAVEN,6083,,
4955,533,HARTFORD & NEW HAVEN,6084,,
4956,533,HARTFORD & NEW HAVEN,6085,,
4957,533,HARTFORD & NEW HAVEN,6087,,
4958,533,HARTFORD & NEW HAVEN,6088,,
4959,533,HARTFORD & NEW HAVEN,6089,,
4960,533,HARTFORD & NEW HAVEN,6090,,
4961,533,HARTFORD & NEW HAVEN,6091,,
4962,533,HARTFORD & NEW HAVEN,6092,,
4963,533,HARTFORD & NEW HAVEN,6093,,
4964,533,HARTFORD & NEW HAVEN,6094,,
4965,533,HARTFORD & NEW HAVEN,6095,,
4966,533,HARTFORD & NEW HAVEN,6096,,
4967,533,HARTFORD & NEW HAVEN,6098,,
4968,533,HARTFORD & NEW HAVEN,6101,,
4969,533,HARTFORD & NEW HAVEN,6102,,
4970,533,HARTFORD & NEW HAVEN,6103,,
4971,533,HARTFORD & NEW HAVEN,6105,,
4972,533,HARTFORD & NEW HAVEN,6106,,
4973,533,HARTFORD & NEW HAVEN,6107,,
4974,533,HARTFORD & NEW HAVEN,6108,,
4975,533,HARTFORD & NEW HAVEN,6109,,
4976,533,HARTFORD & NEW HAVEN,6110,,
4977,533,HARTFORD & NEW HAVEN,6111,,
4978,533,HARTFORD & NEW HAVEN,6112,,
4979,533,HARTFORD & NEW HAVEN,6114,,
4980,533,HARTFORD & NEW HAVEN,6115,,
4981,533,HARTFORD & NEW HAVEN,6117,,
4982,533,HARTFORD & NEW HAVEN,6118,,
4983,533,HARTFORD & NEW HAVEN,6119,,
4984,533,HARTFORD & NEW HAVEN,6120,,
4985,533,HARTFORD & NEW HAVEN,6123,,
4986,533,HARTFORD & NEW HAVEN,6126,,
